skard 3/20 startet 2026-08-09T16:46:27.326Z
25 kamper, 0.39 kamper/s, 1742.7 beslutninger/kamp, 29.8 runder/kamp
50 kamper, 0.36 kamper/s, 1811.2 beslutninger/kamp, 31.0 runder/kamp
75 kamper, 0.38 kamper/s, 1734.2 beslutninger/kamp, 29.6 runder/kamp
100 kamper, 0.40 kamper/s, 1623.2 beslutninger/kamp, 27.7 runder/kamp
125 kamper, 0.41 kamper/s, 1602.8 beslutninger/kamp, 27.3 runder/kamp
150 kamper, 0.42 kamper/s, 1620.0 beslutninger/kamp, 27.6 runder/kamp
175 kamper, 0.41 kamper/s, 1655.6 beslutninger/kamp, 28.2 runder/kamp
200 kamper, 0.41 kamper/s, 1655.1 beslutninger/kamp, 28.2 runder/kamp
225 kamper, 0.41 kamper/s, 1687.2 beslutninger/kamp, 28.8 runder/kamp
250 kamper, 0.43 kamper/s, 1734.6 beslutninger/kamp, 29.6 runder/kamp
FERDIG {"skard":3,"kamper":250,"sekunder":587.61,"kamperPerSek":0.425,"beslutningerPerKamp":1734.6,"raderPerKamp":445.8,"medValgPerKamp":355.5,"runderPerKamp":29.64,"avbruttAndel":0.192,"bytesPerKamp":5113}
