skard 10/20 startet 2026-08-09T16:44:50.961Z
25 kamper, 8.04 kamper/s, 1074.3 beslutninger/kamp, 17.8 runder/kamp
50 kamper, 5.11 kamper/s, 1841.5 beslutninger/kamp, 31.5 runder/kamp
75 kamper, 5.34 kamper/s, 1802.6 beslutninger/kamp, 30.8 runder/kamp
100 kamper, 5.52 kamper/s, 1785.9 beslutninger/kamp, 30.5 runder/kamp
125 kamper, 5.61 kamper/s, 1771.3 beslutninger/kamp, 30.2 runder/kamp
150 kamper, 5.70 kamper/s, 1753.5 beslutninger/kamp, 29.9 runder/kamp
175 kamper, 6.05 kamper/s, 1668.0 beslutninger/kamp, 28.4 runder/kamp
200 kamper, 6.12 kamper/s, 1656.8 beslutninger/kamp, 28.2 runder/kamp
225 kamper, 6.19 kamper/s, 1651.0 beslutninger/kamp, 28.1 runder/kamp
250 kamper, 6.26 kamper/s, 1669.5 beslutninger/kamp, 28.4 runder/kamp
FERDIG {"skard":10,"kamper":250,"sekunder":39.97,"kamperPerSek":6.255,"beslutningerPerKamp":1669.5,"raderPerKamp":432.7,"medValgPerKamp":346.4,"runderPerKamp":28.43,"avbruttAndel":0.168,"bytesPerKamp":4930}
